리조트명	투숙지역	평형/타입	입실일자	박수	객실	입실금액
한화	거제 벨버디어 	 디럭스(원룸_호텔형) 	2024-12-21	1	1	216,000원
		 스위트(오션뷰_호텔형) 	2024-12-23	1	1	267,000원
			2024-12-24	1	1	355,000원
		 스위트(오션뷰_호텔형) 	2005-01-01	1	1	326,000원
		 스위트(오션뷰_호텔형) 	2025-01-27	1	1	400,000원
			2025-01-28	1	1	400,000원
	대천 파로스 	 디럭스(오션뷰_호텔형) 	2024-12-23	1	1	171,000원
			2024-12-24	1	1	193,000원
			2024-12-25	1	1	171,000원
		 디럭스 	2024-12-31	1	1	168,000원
		 디럭스(오션뷰) 	2025-01-11	1	1	212,000원
		 디럭스(오션뷰) 	2025-01-29	1	1	225,000원
			2025-01-30	1	1	225,000원
	설악 별관 	 디럭스 	2024-12-30	1	1	109,000원
			2024-12-31	1	1	109,000원
		 디럭스 	2025-01-25	1	1	129,000원
	설악 쏘라노 	 디럭스(온돌) 	2025-01-11	1	1	190,000원
		 디럭스(트윈베드) 	2025-01-25	1	1	190,000원
			2025-01-26	1	1	190,000원
	여수 벨메르 	 슈페리어 스위트 오션뷰 	2025-01-28	1	1	375,000원
			2025-01-29	1	1	375,000원
	용인 베잔송 	 디럭스(온돌) 	2024-12-30	1	1	135,000원
			2024-12-31	1	1	161,000원
		 디럭스(뽀로로 READ) 	2025-01-18	1	1	216,000원
	평창 	 스위트 	2024-12-28	1	1	196,000원
			2024-12-29	1	1	196,000원
	해운대 	 디럭스(오륙도뷰_알앤비_호텔형) 	2024-12-31	1	1	230,000원
		 디럭스(오륙도뷰) 	2025-01-25	1	1	220,000원
			2025-01-26	1	1	220,000원
			2025-01-27	1	1	220,000원
